id,city_name,stay_name,stay_type,avg_price_per_night,rating,location_area,budget_category
39,Hampi,Hampi Residency,Homestay,4273,3.8,Hospet,Midrange
40,Hampi,Hampi Grand,Hostel,1188,4.3,Hospet,Budget
41,Panaji,Panaji Suites,Luxury Hotel,11717,4.8,Campal,Luxury
42,Panaji,Panaji Inn,Budget Hotel,2232,4.2,Fontainhas,Budget
43,Panaji,Panaji Suites,Hostel,1188,3.7,Dona Paula,Budget
44,Panaji,Panaji Residency,Hostel,1188,3.9,Campal,Budget
45,Panaji,Panaji Suites,Midrange Hotel,4198,4.2,Miramar,Midrange
46,Calangute,Calangute Inn,Luxury Hotel,11717,4.3,Baga Road,Luxury
47,Calangute,Calangute Stay,Hostel,1188,3.9,Calangute Beach Road,Budget
48,Calangute,Calangute Suites,Midrange Hotel,4198,3.9,Holiday Street,Midrange
49,Calangute,Calangute Retreat,Homestay,4273,4.0,Baga Road,Midrange
50,Calangute,Calangute Grand,Budget Hotel,2232,4.6,Candolim,Budget
51,Vagator,Vagator Vista,Hostel,1188,4.1,Anjuna Road,Budget
52,Vagator,Vagator Inn,Luxury Hotel,11717,4.4,Ozran Beach,Luxury
53,Vagator,Vagator Grand,Homestay,4273,4.6,Anjuna Road,Midrange
54,Vagator,Vagator Retreat,Midrange Hotel,4198,4.3,Little Vagator,Midrange
55,Vagator,Vagator Stay,Hostel,1188,3.5,Anjuna Road,Budget
56,Palolem,Palolem Retreat,Hostel,1188,3.8,Canacona,Budget
57,Palolem,Palolem Grand,Hostel,1188,3.9,Palolem Beach,Budget
58,Palolem,Palolem Grand,Midrange Hotel,4198,4.8,Canacona,Midrange
59,Palolem,Palolem Grand,Luxury Hotel,11717,4.6,Patnem,Luxury
60,Palolem,Palolem Inn,Resort,13543,4.4,Palolem Beach,Luxury
61,Jaipur,Jaipur Vista,Midrange Hotel,4198,4.2,Malviya Nagar,Midrange
62,Jaipur,Jaipur Residency,Luxury Hotel,11717,4.3,Malviya Nagar,Luxury
63,Jaipur,Jaipur Vista,Resort,13543,4.2,MI Road,Luxury
64,Jaipur,Jaipur Residency,Hostel,1188,4.6,Malviya Nagar,Budget
65,Jaipur,Jaipur Residency,Budget Hotel,2232,4.3,MI Road,Budget
66,Udaipur,Udaipur Vista,Hostel,1188,3.7,Hathipole,Budget
67,Udaipur,Udaipur Suites,Midrange Hotel,4198,4.1,Hathipole,Midrange
68,Udaipur,Udaipur Stay,Budget Hotel,2232,3.9,Ambamata,Budget
69,Udaipur,Udaipur Stay,Luxury Hotel,11717,4.5,Ambamata,Luxury
70,Udaipur,Udaipur Stay,Homestay,4273,4.9,Fateh Sagar,Midrange
71,Jodhpur,Jodhpur Inn,Budget Hotel,2232,4.4,Clock Tower,Budget
72,Jodhpur,Jodhpur Inn,Budget Hotel,2232,4.3,Ratanada,Budget
73,Jodhpur,Jodhpur Inn,Midrange Hotel,4198,4.8,Paota,Midrange
74,Jodhpur,Jodhpur Residency,Budget Hotel,2232,4.8,Sardarpura,Budget
75,Jodhpur,Jodhpur Stay,Budget Hotel,2232,4.5,Paota,Budget
76,Jaisalmer,Jaisalmer Residency,Budget Hotel,2232,3.6,Patwon Ki Haveli,Budget
77,Jaisalmer,Jaisalmer Vista,Midrange Hotel,4198,4.0,Patwon Ki Haveli,Midrange
78,Jaisalmer,Jaisalmer Suites,Budget Hotel,2232,4.9,Sam Sand Dunes,Budget
79,Jaisalmer,Jaisalmer Suites,Homestay,4273,3.6,Sam Sand Dunes,Midrange
80,Jaisalmer,Jaisalmer Grand,Midrange Hotel,4198,4.5,Fort Road,Midrange
